名称,住所,営業日,電話番号,都道府県,緯度,経度,店舗画像
燻製＆スペアリブ酒場 BRIO藤が丘店,〒465-0033 愛知県名古屋市名東区明が丘108 明和ビル1F,月～土 ディナー：17:30～24:00(L.O.23:30、ドリンクL.O.23:30)(※営業時間外の宴会、パーティーもご相談ください！),050-5487-4677,愛知県,35.182652,137.019219,https://rimage.gnst.jp/rest/img/nvvp6nsw0000/t_0n6u.jpg
個室 デザインフードマーケット 名古屋駅前店,〒450-0002 愛知県名古屋市中村区名駅2-36-8 知多屋名塩ビル2F,"月～金・祝前日 ランチ：11:30～15:00(※11月末まで月曜日定休となります。予めご了承下さい。  【11:30～】ランチタイム。お弁当やテイクアウトもあります♪)
月～日・祝前日・祝日 ディナー：16:00～24:00(※11月末まで月曜日定休となります。予めご了承下さい。  【16:00～】完全穴場タイム！早い時間から飲みたい方にオススメ！テイクアウトもＯＫ◎)",050-5488-3751,愛知県,35.173879,136.883276,https://rimage.gnst.jp/rest/img/baj96zsc0000/t_0n5f.jpg
GARB CASTELLO,〒462-0846 愛知県名古屋市北区名城1,"月～金 ランチ：11:00～14:30(L.O.14:30)、ディナー：17:00～22:30(L.O.21:30、ドリンクL.O.22:00)、カフェ：11:00～22:00
土・日・祝前日・祝日 ランチ：11:00～15:00(L.O.15:00)
土・日・祝前日・祝日 ディナー：17:00～22:30(L.O.21:30、ドリンクL.O.22:00)
土・日・祝前日・祝日 カフェ：11:00～22:00",050-5486-5781,愛知県,35.188049,136.904095,https://rimage.gnst.jp/rest/img/rxw9rh2d0000/t_0n5e.jpg
ラオパサ（EAST DINING LAO PASA）,〒461-0001 愛知県名古屋市東区泉2-13-4 カスティロ泉B1,ランチ：11:45～14:30(L.O.14:00)、ディナー：18:00～23:00(L.O.22:00)(土曜日、日曜日、祝日ランチタイム休み),052-932-1710,愛知県,35.176925,136.914781,https://rimage.gnst.jp/rest/img/evjtt9g20000/t_0n5f.jpg
アロハテーブル 星が丘テラス,〒464-0802 愛知県名古屋市千種区星が丘元町16-50 星が丘テラス EAST1F,10:00～21:00(L.O.20:00)(※新型コロナウィルスの感染拡大防止等の観点から、当面の間＜10:00～21:00＞とさせていただいております。※12/31（木）10:00～17:00、1/2（土）10:00～19:00 お客様にはご迷惑をおかけいたしますが、ご理解頂きますよう、何卒宜しくお願い申し上げます。),050-5486-7112,愛知県,35.161094,136.985381,https://rimage.gnst.jp/rest/img/dsvyw32s0000/t_0n7x.jpg
Flaneur（フラヌール）,〒468-0051 愛知県名古屋市天白区植田1-1208,"水～金 ランチ：11:30～14:30(L.O.13:00)(90分制ビュッフェとなります。/13:00以降でもご予約可能です。（時間が短くなります）)
水～金 ディナー：18:00～22:00(L.O.20:00)(※予約制)
土 カフェ：13:00～17:00(L.O.16:00)(婚礼予約日を除く)",050-5488-3495,愛知県,35.129684,136.987417,https://rimage.gnst.jp/rest/img/p6bt38w90000/t_0n75.jpg
i am cafe～アイ アム カフェ～,〒440-0011 愛知県豊橋市牛川通1-13-13,ランチ：11:00～15:00(L.O.14:00)、ディナー：18:00～20:00、バー：20:00～22:00(L.O.21:30),050-5485-5429,愛知県,34.777822,137.418877,https://rimage.gnst.jp/rest/img/mw79zj9m0000/t_0n7l.jpg
CONVIER,〒465-0093 愛知県名古屋市名東区一社1-33 ティアイー社,"月 11:00～18:00(L.O.15:00、ドリンクL.O.17:30)(ランチメニュー15時まで、それ以降はカフェタイムケーキとドリンクのみ。)
水～日・祝前日・祝日 11:00～17:59(L.O.15:00、ドリンクL.O.17:30)
水～日・祝前日・祝日 18:00～22:00(L.O.21:00、ドリンクL.O.21:30)(ランチメニュー15時まで、15時～18時までカフェタイム、ケーキとドリンクのみ。18時以降は18時～22時はディナーメニューに切り替わります。)",050-5488-7898,愛知県,35.166216,136.994079,https://rimage.gnst.jp/rest/img/30xfdegg0000/t_0n5r.jpg
シノワーズ 南翔 中国式洋風料理店,〒480-1117 愛知県長久手市喜婦嶽815,"月・水～日・祝前日・祝日 ランチ：11:30～14:00(L.O.13:00、ドリンクL.O.13:00)
月・水～日・祝前日・祝日 ディナー：18:00～21:00(L.O.20:30、ドリンクL.O.21:00)",050-5485-2963,愛知県,35.167034,137.042384,https://rimage.gnst.jp/rest/img/gp3xpnsn0000/t_0n6q.jpg
アロハテーブル アスナル金山店,〒460-0022 愛知県名古屋市中区金山1-17-1 アスナル金山1F,11:00～23:00(L.O.22:30)(営業時間に関しては当面の間、11:00～23:00とさせていただきます。※12/31（木）、1/2（土）11:00～19:00、1/3（日）～/6（水）11:0 0～21:00  お客様にはご不便をおかけいたしますが、ご理解の程、よろしくお願い申し上げます。),050-5485-1574,愛知県,35.143983,136.901305,https://rimage.gnst.jp/rest/img/3108f68v0000/t_006n.jpg
